"observationID","fullVersion","datasetKey","surveyKey","sampleKey","observationKey","siteKey","siteName","featureID","location","resolution","taxonVersionKey","pTaxonVersionKey","pTaxonName","pTaxonAuthority","startDate","endDate","sensitive","absence","publicAttribute","dateTypekey","latitude","longitude"
"285032124","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16492798-105554328","NBN-SITE-GA000656-9671825","Site name unavailable","1387064","SK065502","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0494741717935,-1.90374157875336
"285056881","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16491717-105553069","NBN-SITE-GA000656-9670744","Site name unavailable","1204901","SK047532","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.076459993107,-1.93054976036409
"285304635","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16494011-105555128","NBN-SITE-GA000656-9673038","Site name unavailable","1764323","SK083519","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0647308734591,-1.87684676602516
"285331909","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16489322-105555092","NBN-SITE-GA000656-9668349","Site name unavailable","2235553","SK015507","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0540055161365,-1.97832656071157
"285405168","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16493647-105555125","NBN-SITE-GA000656-9672674","Site name unavailable","1420548","SK078505","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0521536650269,-1.88434173661439
"285488462","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16490614-105553722","NBN-SITE-GA000656-9669641","Site name unavailable","1413639","SK032535","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0791676169153,-1.95293698021786
"285546530","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","140402","NBN-SITE-GA000656-9668598","Site name unavailable","1904437","SK018502","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0495100840842,-1.9738535518136
"285546531","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16489571-105555091","NBN-SITE-GA000656-9668598","Site name unavailable","1904437","SK018502","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0495100840842,-1.9738535518136
"285631259","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","226732","NBN-SITE-GA000656-9668896","Site name unavailable","2099793","SK022500","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0477108183824,-1.9678878957905
"285631260","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","192195","NBN-SITE-GA000656-9668896","Site name unavailable","2099793","SK022500","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0477108183824,-1.9678878957905
"285655258","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","20325","NBN-SITE-GA000656-9672742","Site name unavailable","1816384","SK079507","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0539500217706,-1.88284503812578
"285782642","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16493648-105549842","NBN-SITE-GA000656-9672675","Site name unavailable","891623","SK078510","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0566481967222,-1.88432972900146
"285862464","FALSE","GA000656","BGBW2009","BGBW2009-SAMPLE","NBN-GA000656-BGBW2009-16492628-105553842","NBN-SITE-GA000656-9671655","Site name unavailable","898784","SK062512","100m","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2009-01-24,2009-01-25,"FALSE","FALSE","FALSE","DD",53.0584667692918,-1.90819775865897
"355452735","FALSE","GA001203","1","1","BTO_BBS_1825817",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1999-05-01,1999-05-01,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"355911438","FALSE","GA001203","1","1","BTO_BBS_819886",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1995-06-15,1995-06-15,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356012453","FALSE","GA001203","1","1","BTO_BBS_1321206",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1996-06-15,1996-06-15,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356083118","FALSE","GA001203","1","1","BTO_BBS_902310",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1998-05-02,1998-05-02,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356108427","FALSE","GA001203","1","1","BTO_BBS_687831",NA,NA,"471567","SK0759","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2011-08-05,2011-08-05,"FALSE","FALSE","FALSE","D",53.13261022916,-1.88935748067569
"356114655","FALSE","GA001203","1","1","BTO_BBS_96019",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1997-04-20,1997-04-20,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356138494","FALSE","GA001203","1","1","BTO_BBS_1166284",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2002-06-29,2002-06-29,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356314062","FALSE","GA001203","1","1","BTO_BBS_1246763",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1997-07-16,1997-07-16,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356321818","FALSE","GA001203","1","1","BTO_BBS_1199588",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1996-04-20,1996-04-20,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356495357","FALSE","GA001203","1","1","BTO_BBS_708182",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1999-06-18,1999-06-18,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356615443","FALSE","GA001203","1","1","BTO_BBS_1601482",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1995-04-21,1995-04-21,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356732747","FALSE","GA001203","1","1","BTO_BBS_510906",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2002-05-04,2002-05-04,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356783992","FALSE","GA001203","1","1","BTO_BBS_235573",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2000-06-17,2000-06-17,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"356845711","FALSE","GA001203","1","1","BTO_BBS_833035",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",2000-04-23,2000-04-23,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
"357252813","FALSE","GA001203","1","1","BTO_BBS_1889894",NA,NA,"1868071","SK0457","1km","NHMSYS0000530674","NHMSYS0000530674","Turdus merula","Linnaeus, 1758",1998-07-11,1998-07-11,"FALSE","FALSE","FALSE","D",53.1146654100756,-1.93422344681092
